"doi","exemplar","type","key","value"
"M2TCVHEA","1","length","total_length","67198"
"M2TCVHEA","1","string_cronbach","locations_cronbach.start","39102"
"M2TCVHEA","2","string_cronbach","locations_cronbach.start","39236"
"M2TCVHEA","3","string_cronbach","locations_cronbach.start","41331"
"M2TCVHEA","4","string_cronbach","locations_cronbach.start","41471"
"M2TCVHEA","5","string_cronbach","locations_cronbach.start","41765"
"M2TCVHEA","1","string_cronbach","locations_cronbach.end","39117"
"M2TCVHEA","2","string_cronbach","locations_cronbach.end","39251"
"M2TCVHEA","3","string_cronbach","locations_cronbach.end","41346"
"M2TCVHEA","4","string_cronbach","locations_cronbach.end","41486"
"M2TCVHEA","5","string_cronbach","locations_cronbach.end","41780"
"M2TCVHEA","1","string_cronbach","post_cronbach","a (Cronbach 1951), which estimates the test-score r"
"M2TCVHEA","2","string_cronbach","post_cronbach","a is in fact one of the worst estimators because it"
"M2TCVHEA","3","string_cronbach","post_cronbach","a, and if the data are not unidimensional LCRC is t"
"M2TCVHEA","4","string_cronbach","post_cronbach","a, lambda-2 and LCRC have been included in mokken i"
"M2TCVHEA","5","string_cronbach","post_cronbach","a, lambda-2, and LCRC should be computed. Argument "
