"doi","exemplar","type","key","value"
"M236NTGZ","1","length","total_length","116576"
"M236NTGZ","1","string_cronbach","locations_cronbach.start","13501"
"M236NTGZ","2","string_cronbach","locations_cronbach.start","30985"
"M236NTGZ","3","string_cronbach","locations_cronbach.start","31613"
"M236NTGZ","1","string_cronbach","locations_cronbach.end","13510"
"M236NTGZ","2","string_cronbach","locations_cronbach.end","31000"
"M236NTGZ","3","string_cronbach","locations_cronbach.end","31628"
"M236NTGZ","1","string_cronbach","post_cronbach","and Meehl (1955), an important way to it (potential"
"M236NTGZ","2","string_cronbach","post_cronbach","a was 0.69. “I remove”, “I avoid”, “I avert”, and “"
"M236NTGZ","3","string_cronbach","post_cronbach","a was 0.88. Prior to the study, a Dutch translation"
