"doi","exemplar","type","key","value"
"ZMRW226J","1","length","total_length","70544"
"ZMRW226J","1","string_cronbach","locations_cronbach.start","17645"
"ZMRW226J","2","string_cronbach","locations_cronbach.start","17694"
"ZMRW226J","3","string_cronbach","locations_cronbach.start","17846"
"ZMRW226J","4","string_cronbach","locations_cronbach.start","23963"
"ZMRW226J","5","string_cronbach","locations_cronbach.start","24075"
"ZMRW226J","6","string_cronbach","locations_cronbach.start","24152"
"ZMRW226J","7","string_cronbach","locations_cronbach.start","24294"
"ZMRW226J","8","string_cronbach","locations_cronbach.start","24383"
"ZMRW226J","9","string_cronbach","locations_cronbach.start","43545"
"ZMRW226J","10","string_cronbach","locations_cronbach.start","45019"
"ZMRW226J","1","string_cronbach","locations_cronbach.end","17660"
"ZMRW226J","2","string_cronbach","locations_cronbach.end","17709"
"ZMRW226J","3","string_cronbach","locations_cronbach.end","17861"
"ZMRW226J","4","string_cronbach","locations_cronbach.end","23978"
"ZMRW226J","5","string_cronbach","locations_cronbach.end","24090"
"ZMRW226J","6","string_cronbach","locations_cronbach.end","24167"
"ZMRW226J","7","string_cronbach","locations_cronbach.end","24309"
"ZMRW226J","8","string_cronbach","locations_cronbach.end","24398"
"ZMRW226J","9","string_cronbach","locations_cronbach.end","43560"
"ZMRW226J","10","string_cronbach","locations_cronbach.end","45034"
"ZMRW226J","1","string_cronbach","post_cronbach","a(s) calculated per dimension AND Cronbach’s alpha("
"ZMRW226J","2","string_cronbach","post_cronbach","a(s) between 0.70 and 0.95 for the total score and "
"ZMRW226J","3","string_cronbach","post_cronbach","a(s) <0.70 or >0.95, despite adequate design and me"
"ZMRW226J","4","string_cronbach","post_cronbach","a values should be between 0.70 and 0.95; however, "
"ZMRW226J","5","string_cronbach","post_cronbach","as should attain this value. In tools with several "
"ZMRW226J","6","string_cronbach","post_cronbach","as may be reported for the whole scale as well as e"
"ZMRW226J","7","string_cronbach","post_cronbach","a should be between 0.70 and 0.95 for the total sca"
"ZMRW226J","8","string_cronbach","post_cronbach","a values reported in the validation article(s). Tes"
"ZMRW226J","9","string_cronbach","post_cronbach","a <0.7 (for the Persian for example, in the validat"
"ZMRW226J","10","string_cronbach","post_cronbach","a may not be appropriate as siveness, and interpret"
